step,encoder,SIN_P,COS_P,SIN_N,COS_N,TEMP
129,-701,1112,1759,1956,1390,40.2
130,-952,1014,1044,1918,1150,35.1
131,295,1821,1731,1501,1245,41.1
132,-943,1510,1928,1805,1173,38.7
133,669,1096,1503,1421,1675,36.8
134,-700,1489,1262,1054,1263,29.3
135,-111,1250,1735,1415,1364,34.4
136,-37,1758,1652,1092,1316,36.4
137,420,1060,1450,1368,1741,29.7
138,196,1787,1501,1234,1128,42.1
139,448,1875,1253,1871,1329,34.3
140,719,1471,1820,1764,1079,28.0
141,-590,1080,1113,1342,1138,43.2
142,-956,1828,1393,1575,1980,25.0
143,596,1947,1370,1087,1543,38.3
144,-148,1261,1824,1400,1380,42.8
145,857,1423,1498,1014,1845,31.2
146,-491,1610,1849,1218,1290,30.5
147,743,1555,1385,1534,1275,37.1
148,151,1226,1251,1459,1783,36.4
149,-563,1879,1698,1100,1137,33.5
150,878,1284,1342,1915,1960,31.7
151,140,1707,1566,1728,1562,41.3
152,969,1890,1623,1278,1313,41.1
153,10,1840,1978,1000,1394,35.7
154,656,1551,1786,1431,1544,38.9
155,-224,1584,1252,1108,1514,30.4
156,19,1028,1671,1370,1663,39.7
157,-976,1543,1854,1008,1981,40.2
158,-712,1163,1359,1019,1379,40.6
159,461,1487,1353,1899,1788,29.4
160,880,1466,1283,1274,1236,35.9
161,-433,1834,1939,1684,1651,39.9
162,266,1467,1110,1589,1327,42.3
163,581,1295,1936,1874,1435,28.1
164,-28,1028,1798,1070,1587,34.7
165,89,1646,1090,1111,1612,31.3
166,-888,1781,1951,1230,1321,26.3
167,128,1950,1600,1959,1754,44.2
168,194,1330,1632,1559,1777,42.9
169,-368,1272,1383,1081,1153,27.2
170,-479,1956,1818,1591,1900,44.6
